,review,cleaned_review,polarity
3124,Product is ok with its pricing but services rendered by Amazon is absolutely poor. Don't purchase anything during sale bcz they don't tend to come back to your problems. Even Amit (CEO) is not bothered.,product ok pricing service rendered amazon absolutely poor dont purchase anything sale bcz dont tend come back problem even amit ceo bothered,0.033333333333333326
3125,"OnePlus best owsm feature sound is very good and picture quality also means that it is very good. If someone takes advice from me, I will only do one plus➕Actually my brother suggest me  for one plus  thank bro. Its too much goodThank you",oneplus best owsm feature sound good picture quality also mean good someone take advice one plusactually brother suggest one plus thank bro much goodthank,0.4479166666666667
3126,Getting current shock on edges and amazon is arranging the technician techinician wont come and he ill update the status like service completed,getting current shock edge amazon arranging technician techinician wont come ill update status like service completed,-0.25
3127,Worst product and worst service from Amazon there's no installation done don't buy a TV from Amazon if you want to buy buy it from Flipkart where they will installation in one or two days of delivery. And OnePlus service is also worst and tv quality is also worst,worst product worst service amazon there installation done dont buy tv amazon want buy buy flipkart installation one two day delivery oneplus service also worst tv quality also worst,-1.0
3128,The product is nice  and  true value for thePrice. but lack in providing services as no one came to install the t v that I have to do it by myself.,product nice true value theprice lack providing service one came install v,0.475
3129,"Issue with wifi and Bluetooth pairing.... Not upto mark display.. Better go for hi sense, mi or Vu",issue wifi bluetooth pairing upto mark display better go hi sense mi vu,0.5
3130,Good picture quality. Recommended.,good picture quality recommended,0.7
3131,"The media could not be loaded.
                




   Screen looks really good and the design is so eye catching. It seems a bit like a premium smart TV. At this price range it's a steal deal.",medium could loaded screen look really good design eye catching seems bit like premium smart tv price range steal deal,0.5047619047619046
3132,"The media could not be loaded.
                




   I gave actually 3.5 star out of 5Sound isn't too good",medium could loaded gave actually 35 star 5sound isnt good,0.35
3133,It's only third month from the date of purchaseDisplay gone... Only one+ logo coming no other display.... The worst tv I never seen..i neverseen tv like this..Let see I have raised comaint in one plus.. What resolution they give,third month date purchasedisplay gone one logo coming display worst tv never seeni neverseen tv like thislet see raised comaint one plus resolution give,-0.5
3134,"The media could not be loaded.
                




   We brought a this tv 10 days back. Ofter 10days display is not working properly.we don't wt happened to this. It's not acceptable. It's having bad quality",medium could loaded brought tv 10 day back ofter 10days display working properlywe dont wt happened acceptable bad quality,-0.3499999999999999
